#->Timestamp,label,TYPE_ACCELEROMETER-X,TYPE_ACCELEROMETER-Y,TYPE_ACCELEROMETER-Z,TYPE_ORIENTATION2-X,TYPE_ORIENTATION2-Y,TYPE_ORIENTATION2-Z,TYPE_GRAVITY-X,TYPE_GRAVITY-Y,TYPE_GRAVITY-Z,TYPE_GYROSCOPE-X,TYPE_GYROSCOPE-Y,TYPE_GYROSCOPE-Z,TYPE_GYROSCOPE_UNCALIBRATED-X,TYPE_GYROSCOPE_UNCALIBRATED-Y,TYPE_GYROSCOPE_UNCALIBRATED-Z,TYPE_GYROSCOPE_UNCALIBRATED-Xestimated,TYPE_GYROSCOPE_UNCALIBRATED-Yestimated,TYPE_GYROSCOPE_UNCALIBRATED-Zestimated,TYPE_LINEAR_ACCELERATION-X,TYPE_LINEAR_ACCELERATION-Y,TYPE_LINEAR_ACCELERATION-Z,TYPE_MAGNETIC_FIELD_UNCALIBRATED-X,TYPE_MAGNETIC_FIELD_UNCALIBRATED-Y,TYPE_MAGNETIC_FIELD_UNCALIBRATED-Z,TYPE_MAGNETIC_FIELD_UNCALIBRATED-XBias,TYPE_MAGNETIC_FIELD_UNCALIBRATED-YBias,TYPE_MAGNETIC_FIELD_UNCALIBRATED-ZBias,TYPE_MAGNETIC_FIELD-X,TYPE_MAGNETIC_FIELD-Y,TYPE_MAGNETIC_FIELD-Z,TYPE_LIGHT-X,TYPE_PRESSURE-X,TYPE_ROTATION_VECTOR-X,TYPE_ROTATION_VECTOR-Y,TYPE_ROTATION_VECTOR-Z,TYPE_ROTATION_VECTOR-scalarComponent,TYPE_ROTATION_VECTOR-headingAccuracy,TYPE_ORIENTATION-X,TYPE_ORIENTATION-X_trueBearing,TYPE_ORIENTATION-X_trueBearing_normalized,Diff_ORIENTATION-X_trueBearing_GT-Direction,Diff_ORIENTATION-X_trueBearing_GT-Direction_NotAbsolute,Diff_ORIENTATION-X_trueBearing_GT-Direction_normalized,TYPE_ORIENTATION-X_normalized,GT_Direction,GT_Direction_normalized,TYPE_ORIENTATION-Y,TYPE_ORIENTATION-Z,TYPE_PROXIMITY-X,TYPE_GPS-Longitude,TYPE_GPS-Longitude_GT,TYPE_GPS-Latitude,TYPE_GPS-Latitude_GT,TYPE_GPS-Altitude,Diff_GPS_GT_Position,Diff_GPS_GT_LateralDistance,Diff_GPS_GT_LongitudinalDistance,Diff_GPS_GT_LateralDistance_NonAbs,Diff_GPS_GT_LongiDistance,Diff_GPS_GT_LatDistance,Diff_GPS_GT_LongitudinalDistance_NonAbs,TYPE_GPS-Bearing,TYPE_GPS-Bearing_normalized,Diff_GPS-Bearing_GT-Direction,Diff_GPS-Bearing_GT-Direction_NotAbsolute,Diff_GPS-Bearing_GT-Direction_normalized,TYPE_GPS-Speed,GT_Speed,Diff_GPS-Speed_GT-Speed_NotAbsolute,Diff_GPS-Speed_GT-Speed,TYPE_GPS-Accuracy,TYPE_GPS-Time,TYPE_GEOMAGNETIC_FIELD-DECLINATION,TYPE_GEOMAGNETIC_FIELD-FIELD_STRENGTH,TYPE_GEOMAGNETIC_FIELD-HORIZONTAL_STRENGTH,TYPE_GEOMAGNETIC_FIELD-INCLINATION,TYPE_GEOMAGNETIC_FIELD-X,TYPE_GEOMAGNETIC_FIELD-Y,TYPE_GEOMAGNETIC_FIELD-Z
1495545698.143,GO_12694_55.53,0.8595123,-1.4963684,9.560043,1.3907789,0.15464959,-0.089665666,0.6682739,0.19137573,9.781952,0.14700317,0.009597778,-0.15763855,0.17362976,0.015975952,-0.15019226,0.026626593,0.006378174,0.007446289,0.24031067,-1.0498505,0.41508484,67.18292,19.358826,-178.0899,100.125,6.893921,-135.12878,-32.9422,12.464905,-42.96112,32767.0,994.01,-0.009613037,-0.03416443,-0.52845764,0.8482208,0.0,63.0,65.3474824,65.34748,21.17769,-21.17768916829681,21.17769,63.0,86.52517156829681,86.52517,-1.0,3.0,5.000305,9.44824529,9.44822649,51.33906829,51.3390689,246.0,1.3118309446277894,0.06786540420048745,1.3100743249932816,-0.06786540420048745,1.3035524586945113,0.14714427452467263,1.3100743249932816,89.4,89.4,2.874830000000003,-2.874828431703193,2.87483,1.0716809,1.3390465676999723,-0.2673656676999723,0.2673656676999723,4.0,1495545698000,2.3474824,49104.766,19394.201,66.73679,19377.926,794.3833,45112.56
1495545699.143,GO_12694_55.53,0.9504852,-1.395813,13.151337,1.2165381,0.10546579,-0.07214745,0.68592834,0.21098328,9.780304,0.26205444,-0.20558167,-0.17149353,0.20664978,-0.14273071,-0.15019226,0.026626593,0.006378174,0.007446289,0.18704224,-0.71780396,2.7015533,68.04352,20.913696,-177.59247,100.125,6.893921,-135.12878,-32.081604,14.019775,-42.463684,32767.0,994.02,-0.01008606,-0.032714844,-0.5193329,0.85388184,0.0,62.0,64.3474944,64.347496,22.177673999999996,-22.17767716829681,22.177673,62.0,86.52517156829681,86.52517,0.0,3.0,5.000305,9.44826074,9.44824567,51.33906889,51.33906963,246.0,1.0533721895643047,0.082328522325865,1.0501499901990927,-0.082328522325865,1.0432293790090919,0.14582678175088198,1.0501499901990927,89.4,89.4,2.874830000000003,-2.874828431703193,2.87483,1.0707475,1.3390465676999723,-0.26829906769997236,0.26829906769997236,5.0,1495545699000,2.3474944,49104.773,19394.205,66.73679,19377.93,794.3875,45112.562
1495545700.124,GO_12694_55.53,0.53868103,-0.002380371,11.4227295,1.0657071,2.0815767E-4,-0.047123786,0.60617065,-0.30480957,9.783005,0.33129883,-0.13313293,-0.15657043,0.35792542,-0.12675476,-0.14912415,0.026626593,0.006378174,0.007446289,-0.056259155,0.057006836,2.237976,67.700195,23.680115,-178.58734,100.125,6.893921,-135.12878,-32.424927,16.786194,-43.458557,32767.0,994.01,-0.029769897,-0.017730713,-0.5203552,0.85324097,0.0,62.0,64.347498,64.347496,22.177673999999996,-22.17767356829681,22.177673,62.0,86.52517156829681,86.52517,1.0,3.0,5.000305,9.44826322,9.44826449,51.33907444,51.33907035,243.0,0.4635582964231656,0.45503197527276656,0.08849968876635003,0.45503197527276656,-0.060757484057335165,-0.4595593776253501,-0.08849968876635003,92.7,92.7,6.17483,-6.17482843170319,6.17483,1.3113732,1.3390465676999723,-0.027673367699972307,0.027673367699972307,4.0,1495545700000,2.347498,49104.84,19394.225,66.7368,19377.95,794.3895,45112.63
1495545701.121,GO_12694_55.53,0.41418457,0.6536102,8.042114,1.0185515,-0.080988325,-0.05145649,0.48376465,0.043380737,9.794525,0.07563782,-0.20558167,0.092681885,0.12036133,-0.2034607,0.113983154,0.026626593,0.006378174,0.007446289,-0.19003296,0.5317993,-1.704956,69.766235,20.568848,-178.91998,100.125,6.893921,-135.12878,-30.358887,13.674927,-43.7912,32767.0,994.01,-0.010620117,-0.021881104,-0.5109863,0.8592377,0.0,61.0,63.3475003,63.3475,23.177670000000006,-23.177671268296812,23.17767,61.0,86.52517156829681,86.52517,0.0,2.0,5.000305,9.44828584,9.44828361,51.339076,51.33907108,244.0,0.5690043296978454,0.5473734279485856,0.155397088551582,0.5473734279485856,0.18828771236685052,-0.5369484725056509,0.155397088551582,92.5,92.5,5.974829999999997,-5.9748284317031874,5.97483,1.2440257,1.3390465676999723,-0.09502086769997242,0.09502086769997242,4.0,1495545701000,2.3475003,49104.805,19394.215,66.7368,19377.94,794.3899,45112.594
1495545702.142,GO_12694_55.53,0.94091797,0.08378601,7.2520294,0.9414003,-0.011456923,-0.1290247,0.22489929,-0.38694763,9.79631,0.23329163,-0.25457764,0.17897034,0.32063293,-0.27589417,0.17256165,0.026626593,0.006378174,0.007446289,0.47898865,0.48213196,-2.0370026,70.28351,23.85254,-178.42255,100.125,6.893921,-135.12878,-29.841614,16.958618,-43.293762,32767.0,994.01,-0.022598267,-4.119873E-4,-0.51953125,0.8541565,0.0,62.0,64.347508,64.34751,22.177660000000003,-22.177663568296808,22.17766,62.0,86.52517156829681,86.52517,1.0,1.0,5.000305,9.44830377,9.44830319,51.33907619,51.33907182,244.0,0.4878603883816712,0.4861833088405129,0.04041718008676387,0.4861833088405129,0.06981045716233858,-0.48283978534505706,0.04041718008676387,92.6,92.6,6.0748299999999915,-6.074828431703182,6.07483,1.2414508,1.3390465676999723,-0.09759576769997236,0.09759576769997236,4.0,1495545702000,2.347508,49104.797,19394.21,66.7368,19377.936,794.3924,45112.59
1495545703.129,GO_12694_55.53,-0.82598877,-0.09815979,10.852905,1.1724776,0.009018238,0.07596117,0.043685913,-0.2693329,9.80275,-0.6146393,0.07563782,0.17897034,-0.60505676,0.07775879,0.20878601,0.026626593,0.006378174,0.007446289,-0.7628479,0.34550476,0.93118286,70.111084,21.26007,-178.91998,100.125,6.893921,-135.12878,-30.014038,14.36615,-43.7912,32767.0,994.0,-0.016693115,0.008911133,-0.5272064,0.8495178,0.0,63.0,65.347515,65.34751,21.177660000000003,-21.17765656829681,21.17766,63.0,86.52517156829681,86.52517,1.0,0.0,5.000305,9.44832696,9.44832212,51.33907779,51.33907254,244.0,0.6744718166204552,0.5840875001119777,0.337274384507709,0.5840875001119777,0.3720558718609779,-0.5625714589684417,0.337274384507709,92.6,92.6,6.0748299999999915,-6.074828431703182,6.07483,1.1552489,1.3390465676999723,-0.1837976676999724,0.1837976676999724,5.0,1495545703000,2.347515,49104.793,19394.213,66.73679,19377.938,794.39484,45112.582
1495545704.173,GO_12694_65.53,-0.8882446,-1.6017151,9.536102,1.3150885,0.16570584,0.09287747,0.18598938,-0.57699585,9.787781,-0.3877411,0.09161377,0.48362732,-0.3611145,0.09799194,0.4910736,0.026626593,0.006378174,0.007446289,-0.4914093,-0.89378357,0.7701721,70.80078,25.062561,-178.91998,100.125,6.893921,-135.12878,-29.32434,18.16864,-43.7912,32767.0,994.01,-0.031661987,0.008987427,-0.51348877,0.85746765,0.0,61.0,63.347515,63.347515,23.177655,-23.17765656829681,23.177654,61.0,86.52517156829681,86.52517,3.0,0.0,5.000305,9.44833899,9.44834209,51.33908478,51.3390733,244.0,1.295344598659153,1.2772046664404342,0.21602281760799275,1.2772046664404342,-0.13821425600467474,-1.2879497028772477,-0.21602281760799275,92.6,92.6,6.0748299999999915,-6.074828431703182,6.07483,0.86833173,1.3273161388203698,-0.45898440882036984,0.45898440882036984,5.0,1495545704000,2.347515,49104.793,19394.213,66.73679,19377.938,794.39484,45112.582
1495545705.147,GO_12694_65.53,0.4333496,-1.419754,11.08754,1.3276978,0.12726033,-0.039064497,0.23477173,0.06329346,9.803497,0.17576599,0.11079407,0.29188538,0.19706726,0.116104126,0.30786133,0.026626593,0.006378174,0.007446289,0.13630676,-1.2075653,1.5473938,68.56079,20.050049,-178.42255,100.125,6.893921,-135.12878,-31.564331,13.156128,-43.293762,32767.0,994.01,-0.004180908,-0.01184082,-0.53878784,0.8423462,0.0,65.0,67.3475163,67.34752,19.17765,-19.177655268296817,19.17765,65.0,86.52517156829681,86.52517,0.0,1.0,5.000305,9.4483464,9.44836061,51.33908732,51.339074,244.0,1.7823031907460314,1.4819134307662432,0.9902206638440476,1.4819134307662432,-0.8985813532071825,-1.5392062665729607,-0.9902206638440476,92.6,92.6,6.0748299999999915,-6.074828431703182,6.07483,0.87235314,1.3273161388203698,-0.45496299882036983,0.45496299882036983,4.0,1495545705000,2.3475163,49104.805,19394.207,66.73681,19377.932,794.395,45112.598
1495545706.129,GO_12694_65.53,0.6871338,-0.35194397,12.864044,1.1525891,0.027312992,-0.05336435,0.28146362,-0.20379639,9.800354,0.56033325,0.26312256,-0.009567261,0.58695984,0.26950073,-0.0021209717,0.026626593,0.006378174,0.007446289,0.55140686,-0.34236145,2.5091095,69.766235,20.568848,-177.92511,100.125,6.893921,-135.12878,-30.358887,13.674927,-42.796326,32767.0,994.02,-0.018127441,-0.0057678223,-0.56425476,0.8253784,0.0,68.0,70.347521,70.34752,16.17765,-16.177650568296812,16.17765,68.0,86.52517156829681,86.52517,1.0,1.0,5.000305,9.44836306,9.44837928,51.33908874,51.33907471,243.0,1.9271666808229304,1.5609043080383083,1.1302870283641502,1.5609043080383083,-1.0336025696945017,-1.6265413469265804,-1.1302870283641502,92.6,92.6,6.0748299999999915,-6.074828431703182,6.07483,1.132166,1.3273161388203698,-0.1951501388203698,0.1951501388203698,4.0,1495545706000,2.347521,49104.83,19394.209,66.73682,19377.934,794.3967,45112.625
1495545707.180,GO_12694_65.53,1.1755524,1.0223236,9.167389,0.9583348,-0.110163875,-0.12753597,0.63235474,-0.25167847,9.782852,-0.07562256,0.29614258,-0.18107605,0.008514404,0.26737976,-0.11930847,0.026626593,0.006378174,0.007446289,0.7155609,0.82943726,0.32261658,68.38837,19.53125,-177.92511,100.125,6.893921,-135.12878,-31.736755,12.637329,-42.796326,20602.0,994.02,-0.028533936,-0.019805908,-0.5520325,0.83309937,0.0,67.0,69.3475366,69.347534,17.177636000000007,-17.177634968296815,17.177635,67.0,86.52517156829681,86.52517,1.0,3.0,5.000305,9.44837859,9.44839926,51.3390836,51.33907547,242.0,1.700832184773087,0.9045012148065598,1.440384430047015,0.9045012148065598,-1.3829144730102692,-0.9901400477948238,-1.440384430047015,85.6,85.6,0.9251700000000085,0.9251715682968182,0.92517,2.149651,1.3273161388203698,0.8223348611796302,0.8223348611796302,4.0,1495545707000,2.3475366,49104.85,19394.227,66.73681,19377.95,794.40265,45112.64
1495545708.152,GO_12694_65.53,0.54826355,0.3663025,6.490677,1.1054475,-0.05617575,-0.08426935,0.8361664,-0.16400146,9.769531,0.046875,0.16725159,-0.28227234,0.07350159,0.17362976,-0.27482605,0.026626593,0.006378174,0.007446289,-0.058044434,0.37228394,-3.6284027,67.52777,19.012451,-176.4328,100.125,6.893921,-135.12878,-32.59735,12.11853,-41.304016,16232.0,994.03,-0.03086853,-0.030654907,-0.560379,0.8270874,0.0,68.0,70.3475456,70.34754,16.177630000000008,-16.17762596829681,16.17763,68.0,86.52517156829681,86.52517,0.0,4.0,5.000305,9.44840262,9.44841774,51.33907833,51.33907618,240.0,1.0804444670902458,0.23919773759722138,1.0536340146651486,0.23919773759722138,-1.0371991509036036,-0.3026187632911604,-1.0536340146651486,85.7,85.7,0.82517,0.8251715682968097,0.82517,1.5232203,1.3273161388203698,0.19590416117963017,0.19590416117963017,4.0,1495545708000,2.3475456,49104.89,19394.238,66.73681,19377.96,794.4062,45112.68
